Disease,Prevalence,Prior_Weight,Typical_Min_Duration_Days,Typical_Max_Duration_Days,Duration_Category,Onset_Type,Progression_Type,Urgency_Level,Typical_Min_Age,Typical_Max_Age,Primary_Age_Group,Gender_Predisposition,Primary_Organ_System,Secondary_Organ_System,Typical_Severity_Level,Case_Fatality_Risk,Hospitalization_Likelihood,Chronicity_Type
abdominal aortic aneurysm,Rare,0.35,365,7300,Chronic,Insidious,Progressive,Emergency,55,90,Elderly,Slightly Male,Cardiovascular,Multisystem,Severe,High,Almost Always,Chronic Progressive
abdominal hernia,Common,0.75,30,10950,Chronic,Gradual,Progressive,Moderate,0,90,All Ages,Slightly Male,Gastrointestinal,Musculoskeletal,Moderate,Low,Sometimes,Chronic
abscess of nose,Common,0.75,3,10,Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,ENT,Dermatological,Mild to Moderate,Very Low,Rare,Acute
abscess of the lung,Rare,0.35,14,42,Chronic,Gradual,Progressive,High,20,80,Middle Aged,Slightly Male,Respiratory,Infectious Disease,Moderate to Severe,Moderate,Often,Subacute
abscess of the pharynx,Rare,0.35,2,7,Acute,Sudden,Progressive,Emergency,2,50,Child,Both,ENT,Infectious Disease,Moderate to Severe,Low,Often,Acute
acanthosis nigricans,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,10,70,Young Adult,Both,Dermatological,Endocrine,Mild,Very Low,Rare,Chronic
acariasis,Common,0.75,7,21,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Dermatological,Infectious Disease,Mild,Very Low,Rare,Acute Self-Limiting
achalasia,Very Rare,0.15,180,7300,Chronic,Insidious,Progressive,Moderate,25,60,Middle Aged,Both,Gastrointestinal,Neurological,Moderate,Very Low,Sometimes,Chronic Progressive
acne,Very Common,1,30,3650,Chronic,Gradual,Relapsing,Low,12,30,Adolescent,Both,Dermatological,Endocrine,Mild,Very Low,Rare,Chronic
actinic keratosis,Very Common,1,365,7300,Chronic,Insidious,Progressive,Low,50,90,Elderly,Both,Dermatological,None,Mild,Very Low,Rare,Chronic
acute bronchiolitis,Common,0.75,3,14,Subacute,Sudden,Self-limiting,High,0,2,Infant,Both,Respiratory,Infectious Disease,Moderate,Low,Often,Acute Self-Limiting
acute bronchitis,Very Common,1,5,21,Subacute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Respiratory,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute Self-Limiting
acute bronchospasm,Common,0.75,0,1,Very Acute,Sudden,Self-limiting,Emergency,0,90,All Ages,Both,Respiratory,None,Moderate,Low,Often,Acute
